label,text,answer
HISTORY,"After being King of Naples & Spain, Joseph, this man's brother, moved to N.J.",Napoleon
MUSIC,"To soak up some of the food, let's quaff this golden Irish lager",Harp
HISTORY,"After losing the English throne, this Catholic king went to Ireland & lost the Battle of the Boyne in 1690",James II
MUSIC,"""Italian for """"half"""", this prefix often precedes forte & soprano""",mezzo-
MUSIC,"""This military flute derives its name from the German word for """"pipe""""""",Fife
LITERATURE,"""He's the Monty Python member heard here reading from Dante's """"Inferno""""""",John Cleese
MUSIC,"""His first published work, 1872's """"Moonlight on the Potomac"""", contained waltzes, not marches""",John Philip Sousa
SCIENCE,"Born 1736 in Scotland, improved on Thomas Newcomen's engine, ran out of steam 1819",James Watt
LITERATURE,"""Knitting, """"Still Knitting"""" & """"The Knitting Done"""" are chapters in this 1859 novel""",A Tale of Two Cities
SCIENCE,"In 1877 American astronomer Asaph Hall discovered Deimos & Phobos, 2 tiny moons of this planet",Mars
SCIENCE,2-word term for the world as a single small community linked by mass media,the global village
LITERATURE,This legendary fruit tree planter was the subject of a work by Vachel Lindsay,Johnny Appleseed
LITERATURE,"""The main character in his 1947 novel """"Doktor Faustus"""" is a German composer named Adrian Leverkuhn""",Thomas Mann
HISTORY,"This group of volunteers, created on Mar. 1, 1961, works to improve living conditions in other nations",Peace Corps
HISTORY,Last monarch of the House of Tudor,Elizabeth I
LITERATURE,This Ernest Hemingway love story that takes place during WWI was one of Penguin Books' first 10 titles,A Farewell to Arms
SCIENCE,"""It's the branch of biology dealing with heredity; everybody into the pool!""",genetics
MUSIC,"""Paris Hilton is in this rapper's """"Just Lose It"""" video; he appears as himself & as Santa Claus, among others""",Eminem
GEOGRAPHY,"A national monument in Cork, the second city of this country, honors the Rebellion of 1798",Ireland
HISTORY,"In 1960 Prince Norodom Sihanouk became leader of this country, but declined the title of king",Cambodia
MUSIC,"God save the rapper, singer & actress Dana Owens, who goes by this moniker",Queen Latifah
SCIENCE,"Sore, stiff joints are one symptom of this condition suffered by sailors off the C, vitamin C",scurvy
MUSIC,"""In song, """"A pretty girl is like"""" one""",a melody
MUSIC,"""When """"Fantasia 2000"""" features """"Carnival of the Animals"""", this pink bird shows off its yo-yoing skills""",a flamingo
MUSIC,"""In """"Take Me Home, Country Roads"""", John Denver sang, """"Almost heaven,"""" this state""",West Virginia
HISTORY,"(Sofia of the Clue Crew at Sea World in San Diego)  Europeans learned about penguins from this Portuguese explorer, the namesake of these ---- penguins",Ferdinand Magellan
SCIENCE,"Among the compounds called alkanes, the hexanes are C6H14 -- & these hydrocarbons are C8H18",octanes
SCIENCE,The Cassini spacecraft is scheduled to study this planet & send a probe to the surface of its moon Titan,Saturn
LITERATURE,"""Sadly, in a James Fenimore Cooper novel Chingachgook was called """"The Last of"""" this group""",the Mohicans
LITERATURE,"In this 1862 novel, ex-convict Jean Valjean steals the Bishop of Digne's silverware",Les Misérables
HISTORY,In 1896 the Dow Jones Industrial Average officially appeared in print for the first time in this newspaper,The Wall Street Journal
HISTORY,"The largest horde this Mongol leader who died in 1227 ever assembled was less than 240,000 men",Genghis Khan
LITERATURE,"The Big Knockover, a collection of his stories & short novels, was edited by Lillian Hellman",Dashiell Hammett
LITERATURE,"""William Blake tells of this animal """"burning bright in the forests of the night""""""",a tiger
MUSIC,This steam-whistle organ was often used on 19th century Mississippi steamboats to announce their arrival at ports,a calliope
LITERATURE,"""Meryl Streep played this author of """"Shadows on the Grass"""" in 1985's """"Out of Africa""""""",Isak Dinesen (Karen Blixen)
HISTORY,"""This star of """"Susannah of the Mounties"""" was later U.S. Ambassador to Ghana""",Shirley Temple Black
GEOGRAPHY,"""1 of the 2 Australian states with """"Australia"""" in their names""",South Australia (or Western Australia)
GEOGRAPHY,"This Central American national capital city has a scant population of about 7,100",Belmopan
LITERATURE,"""John Galsworthy's 1906 work """"The Man of Property"""" was the first in this series of novels""",The Forsyte Saga
HISTORY,The U.S. supplied materiel to its allies during WWII through this 1941 Congressional act,the Lend-Lease Act
GEOGRAPHY,"In Slovakia the White Carpathians aren't an ethnic group but this, which covers much of the country",Mountain range
HISTORY,"In 1915, the British created this mobile weapon that could cross trenches",the tank
SCIENCE,An outbreak of disease (8),an epidemic
MUSIC,"""Leather and this, a duet with Don Henley, helped make Stevie Nicks' """"Bella Donna"""" album a smash hit""",Lace
SCIENCE,"In 1931, to produce this fiber, Wallace Carothers heated hexamethylene diamine & adipic acid",Nylon
MUSIC,"""This multi-talented entertainer wrote the songs for """"Sophie"""", a musical bio of Sophie Tucker""",Steve Allen
LITERATURE,"Gabriel Garcia Marquez, chronicler of a death foretold",Colombia
MUSIC,This bizarre band with a bassist named Sputnik had the same name as a Katherine Anne Porter novel,Ship of Fools
LITERATURE,"""Her recently-discovered work """"Lost Laysen"""" was published in 1996, the 60th anniv. of """"Gone With The Wind""""""",Margaret Mitchell
HISTORY,The Grimaldi family first gained control of this country in 1297,Monaco
MUSIC,This beloved Broadway show was based on a comic strip by Harold Gray,Annie
MUSIC,Sigma guitars imported from Korea are sold in the U.S. by this company known for its acoustic guitars,Martin
HISTORY,This island's harbor of Mandraki was once guarded by a colossal 120'-high statue,Rhodes
HISTORY,"Thucydides' history of this war ends in 411 B.C., 7 years before the war ended",Peloponnesian War
MUSIC,It's the Drifters' 1960 title request,Save The Last Dance For Me
GEOGRAPHY,"The 2 outlets of the Gulf of Mexico, a strait & a channel, bear the names of these 2 land areas",Florida & the Yucatán peninsula
GEOGRAPHY,"The Detroit, Huron & Sandusky Rivers are among those that flow into this great lake",Lake Erie
MUSIC,"""An iconic scene in """"Apocalypse Now"""" features copters flying, blaring this Wagner piece""",Ride of the Valkyrie
LITERATURE,"""This """"Star Trek"""" captain is now the star """"Tek"""" captain with his series of books that includes """"Tekwar""""""",(William) Shatner
LITERATURE,1 of the 2 American women authors nominated for the Nobel Prize for Literature in 1938,Pearl S. Buck (or) Margaret Mitchell
HISTORY,Her 11 1/2 years as prime minister was the longest consecutive term since the Earl of Liverpool in the early 19th century,Margaret Thatcher
HISTORY,This future wife of Napoleon spent her first 15 years on the island of Martinique,Josephine
SCIENCE,Just after 1500 Peter Henlein built the first spring-driven one of these that fit in a pocket,Watch
HISTORY,"Just before the founding of the Plymouth colony in 1620, the Pilgrims signed a compact on this ship",the Mayflower
MUSIC,"""On the Michael Jackson hit """"Beat It"""", this virtuoso lead guitarist played a solo""",Eddie Van Halen
LITERATURE,"""This """"Death Be Not Proud"""" poet was an Anglican priest who became Dean of St. Paul's Cathedral in 1621""",John Donne
MUSIC,"""Name shared by the operatic heroines of """"Fidelio"""" and """"Il Trovatore""""""",Leonora
SCIENCE,"""In zoology this adjective means """"hermaphroditic""""""",androgynous
HISTORY,"Asia's population giant, finally admitted to U.N. in 1971",(The People's Republic of) China
MUSIC,"""He wrote several anthems, including """"The King Shall Rejoice"""", for the coronation of England's King George II""",George Frideric Handel
HISTORY,Bradley Whitford & Stockard Channing won acting Emmys for this drama,The West Wing
LITERATURE,1988: By Anne Rice,Queen of the Damned
LITERATURE,"""1957: This Frenchman who wrote """"The First Man"""" & """"The Plague""""""",Albert Camus
HISTORY,"""Jessica Simpson's oeuvre includes 1996's """"The Same River Twice"""" &, of course, the Pulitzer-winning """"The Color Purple""""""",Alice Walker
HISTORY,"""In 1937 FDR's opponents accused him of trying to """"pack"""" this""",The Supreme Court
LITERATURE,Bishop Blackie Ryan,Andrew Greeley
SCIENCE,Breezes often transfer these tiny grains from male flower parts to female seed cones,pollen
SCIENCE,(Sarah of the Clue Crew flying over Volcanoes National Park in Hawaii) This melted rock which eventually becomes lava may form up to 100 miles below the volcano's surface,magma
SCIENCE,"""In the 18th century Karl Scheele tested elements this way; he may have died from mercury poisoning""",tasting them
MUSIC,...& the New Power Generation,Prince
SCIENCE,"""This term refers to plants that have flowers; it comes from 2 Greek words for """"receptacle"""" & """"seed""""""",angiosperm
MUSIC,"""You """"can't trust that day"""", according to The Mamas & The Papas""","Monday(, Monday)"
SCIENCE,In 1966 the U.S. government awarded his heirs $1 million for infringements on his rocket patents,Robert Goddard
MUSIC,"""These """"Who Let The Dogs Out?"""" hitmakers come, logically enough, from the Bahamas""",the Baha Men
LITERATURE,Deptford trilogist Robertson Davies,Canada
HISTORY,"""As of 1206 he formally wore the title """"Great Khan of the Mongols""""""",Genghis Khan
SCIENCE,"""This """"Father of Genetics"""" is the subject of the biography """"The Monk in the Garden""""""",Gregor Mendel
LITERATURE,"""She turned her short story collection """"Wind and Water"""" into the bestseller """"The Joy Luck Club""""""",Amy Tan
MUSIC,"""Synonym for """"snake"""" that's the name of the old-time instrument played here""",serpent
HISTORY,"""400s B.C.: This Greek """"father of medicine"""" bases medicine on observation & reasoning""",Hippocrates
LITERATURE,"Despite its title, this 1848 Charles Dickens novel is ultimately about a father & his daughter, not his son",Dombey and Son
HISTORY,The congress held here hoped to restore Europe to the way it was before Napoleon,Vienna
SCIENCE,Germicidal lamps emit these rays,ultraviolet
SCIENCE,"""Collectively, argon, helium, krypton, neon, radon & xenon are known by this """"heroic"""" name""",Noble gases
HISTORY,This person was the reigning monarch of Great Britain when the U.S. national anthem was written,George III
HISTORY,"""In 1957 Polish foreign minister Adam Rapacki proposed a European """"zone"""" free of these""",nuclear weapons
HISTORY,"""Though historians debate it, she's called """"The Virgin Queen""""""",Elizabeth I
MUSIC,"The Entertainer became a big hit in 1973, 71 years after he wrote it",Scott Joplin
SCIENCE,"The Human Zero is a collection of this author's sci-fi stories, as Della Street could tell you",Erle Stanley Gardner
HISTORY,"This commodore became a friend to Japan in 1854, showing them the telegraph & a daguerreotype camera",Matthew Perry
LITERATURE,The Martian invaders in this H.G. Wells novel are destroyed by earthly bacteria,War of the Worlds
SCIENCE,Max Planck gave this name to the smallest amount of energy that can be emitted as electromagnetic radiation,Quantum
MUSIC,"""Rich patron Vera Simpson is """"bewitched, bothered and bewildered"""" by this title song & dance pal""",Pal Joey
MUSIC,Chip is a chip off the old teapot in this musical based on a Disney film,Beauty and the Beast
GEOGRAPHY,In Virginia Cape Charles & Cape Henry mark the northern & southern sides of the entrances to this bay,Chesapeake Bay
SCIENCE,Albert Einstein announced his special theory of this in 1905 & his general theory in 1915,relativity
LITERATURE,"""His father was also a count; his mother was Princess Volkonskaya""",Leo Tolstoy
MUSIC,"""Famous waltz played here with """"icy"""" composure""",The Skater's Waltz
HISTORY,"""The bodacious Tata family launched this industry in India in 1901, the year the """"U.S."""" corporation was founded""",steel
GEOGRAPHY,These mountains form a natural barrier between Spain & France,Pyrenees
MUSIC,Forget About Dre is by Dr. Dre (natch) & featuring this rapper also known as Slim Shady,Eminem
LITERATURE,This 15-year-old E.L. Doctorow high school dropout joins gangster Dutch Schultz' mob,Billy Bathgate
SCIENCE,"In the 1920s, Julius Nieuwland polymerized acetylene, added chlorine atoms & created this synthetic rubber",Neoprene
HISTORY,"This Missouri city wasn't named for Scott or Janis but for Rev. Harris G., an early settler there",Joplin
MUSIC,"""Madonna's """"greedy"""" nickname, or her 1985 hit""",Material Girl
SCIENCE,"P.E.T., the positron emission type of this kind of imaging, can identify the focal points of seizures",tomography
MUSIC,"Probably derived from refrain, this 4-letter term is a constantly repeated musical phrase in jazz",Riff
HISTORY,"After a 15-year stay in England, this proprietor of Pennsylvania returned to his colony in 1699",William Penn
HISTORY,"1844: During a tooth extraction, Dr. Horace Wells makes the first use of this gas as an anesthetic",nitrous oxide (laughing gas)
HISTORY,"""The longest currently serving leader in the Western Hemisphere; he started in 1959""",Fidel Castro
GEOGRAPHY,"Of the non-state U.S. territories, areas & districts, the only one that is larger in area than the smallest state",Puerto Rico
HISTORY,"""Developed in the 17th century, this form of theater features men called """"onnagata"""" in female roles""",kabuki
LITERATURE,"""In May 1973 Sports Illustrated ran one of his short stories under the title """"A Day of Wine and Roses""""""",Dick Francis
GEOGRAPHY,"The course of a river in present-day Turkey gave us this word meaning to wander in an aimless, circuitous way",to meander
GEOGRAPHY,"Alphabetically, the countries in Europe run from Albania to this tiny landlocked nation",Vatican City
MUSIC,"""This 1961 hit by Dion begins, """"Here's my story, sad but true, it's about a girl that I once knew""""""",Runaround Sue
MUSIC,It's the Ricky Nelson hit heard here,Poor Little Fool
HISTORY,From 1815 to 1861 this principality on the Riviera was under the protection of Sardinia,Monaco
LITERATURE,"""He's the teenage narrator of """"The Catcher in the Rye""""""",Holden Caulfield
LITERATURE,"""He gave us the line """"Love means never having to say you're sorry""""""",Erich Segal
GEOGRAPHY,The Kamchatka Peninsula separates the Sea of Okhotsk from this sea named for a Dane,the Bering Sea
GEOGRAPHY,"""Much of Scotland's Caledonian Canal is formed by Loch Lochy & this other """"monstrous"""" loch""",Loch Ness
SCIENCE,In 1985 Giacobini-Zinner became the first one of these to be intercepted by a spacecraft,a comet
GEOGRAPHY,The London traffic junction & meeting place seen here,Piccadilly Circus
HISTORY,"In the 1970s, as many as 18,000 troops from this Caribbean country fought in Angola's civil war",Cuba
MUSIC,"""This Brooklynite broke into the Top 40 with 1966's """"Cherry, Cherry""""""",Neil Diamond
SCIENCE,"The largest tree, the General Sherman in California, is this type, also called a Sierra Redwood",a sequoia
LITERATURE,"""This Camus novel is known in French as """"La Peste""""""",The Plague
HISTORY,"As a teen, this future inventor of the cotton gin had his own nail-making business",Eli Whitney
LITERATURE,"""Amy Lowell wrote that this """"Prufrock"""" poet """"lives like a snail in his shell, pen protruding""""""",T.S. Eliot
HISTORY,"It's a member of the British Conservative Party, m'lord",a Tory
LITERATURE,"""Chapter 14 of this classic American novel is entitled """"Hester and the Physician""""""",The Scarlet Letter
SCIENCE,"The ICBM, which stands for this, can deliver a payload to a military target thousands of miles away",Intercontinental ballistic missile
HISTORY,"Alexander the Great routed this Persian king at the Battle of Issus & captured his wife, mother & daughters",Darius (the III)
MUSIC,"This Hawaiian instrument comes in 4 sizes: soprano, concert, tenor & baritone",the ukulele
LITERATURE,H. Rider Haggard used this 3rd person singular pronoun as a title of 1887 novel,She
MUSIC,"""Shambala, """"Joy To The World """"""",Three Dog Night
SCIENCE,"""Sometimes preceded by poly-, it means """"able to dissolve more of a substance""""""",unsaturated
GEOGRAPHY,This large Connecticut city was named after a structure spanning the Pequonnock,Bridgeport
MUSIC,This 2-word part of the piano is also a verb meaning to downplay something harsh or upsetting,soft-pedal
GEOGRAPHY,"Once Portugal's colony, this country is separated from Madagascar by a channel of the same name",Mozambique
SCIENCE,This basic unit of heredity acts by directing the production of RNA,a gene
SCIENCE,Fahrenheit equivalent to 0º Centigrade,32
GEOGRAPHY,A statue of Hiawatha & this wife stands atop the waterfall named for her,Minnehaha
HISTORY,"Way before Ford, an assembly line was set up in Cincinnati in the 1800s to disassemble these animals",pigs
HISTORY,The martial artists who fought against Western control of China from 1898 to 1900 were known as these,the Boxers
SCIENCE,"Skiers in late spring might thank Ukichiro Nakaya, who pioneered the artificial creation of this",snow
LITERATURE,"""He wrote the somewhat autobiographical 1858 play """"Le fils naturel"""", or """"The Natural Son""""""",Alexandre Dumas (the son)
GEOGRAPHY,"Gilbertese, a Micronesian language, is widely spoken in Kiribati, an island country in this ocean",Pacific
HISTORY,"During WWII, this city was the headquarters of the Alaska Defense Command",Anchorage
GEOGRAPHY,"If you don't make your car payments, watch out for this type of man played on film by Emilio Estevez",a repo man
GEOGRAPHY,Laughing Whitefish is a well-known waterfall in this state's Upper Peninsula,Michigan
HISTORY,"At the same time that John Foster Dulles was Secretary of State, his brother Allen headed this agency",CIA (Central Intelligence Agency)
HISTORY,"The 1979 sequel to this miniseries is set in Henning, Tennessee, beginning in 1882",Roots
LITERATURE,This first sister of Peter Rabbit married Benjamin Bunny,Flopsy
SCIENCE,"The planets that are smaller than Earth are Mercury, Venus & these two",Mars & Pluto
MUSIC,"""Musical instrument ineptly played by private Hannibal Dobbs on the TV series """"F Troop""""""",Bugle
LITERATURE,"""Edward Bellamy's 1888 book """"Looking Backward"""" sends a man to this year & doesn't mention computer bugs""",2000
SCIENCE,"In geologic theory, the Earth's outer shell has about 12 big these, moving around tectonically",plates
LITERATURE,"""It may ring a bell that he had """"a huge head sprouting red hair; between the two shoulders an enormous hump""""""",the hunchback (of Notre Dame)
MUSIC,"""In 1829 Mendelssohn led the first """"St. Matthew Passion"""" since the death of this composer of the work in 1750""",Johann Sebastian Bach
SCIENCE,"""Black spot is a serious fungal disease that affects these flowers; rugosas have good resistance""",roses
MUSIC,"Give 'em the old razzle dazzle, razzle dazzle 'em",Chicago
LITERATURE,He rescues Friday from cannibals & later rescues Friday's father as well,Robinson Crusoe
HISTORY,"In its drive for German unification, this country defeated Austria in the 7 Weeks' War of 1866",Prussia
LITERATURE,"""His third published novel, """"Sartoris"""", was the first he set in Yoknapatawpha County""",William Faulkner
LITERATURE,"""Yeats described this """"Arms And The Man"""" playwright as """"An athiest who trembles in the haunted corridor""""""",George Bernard Shaw
MUSIC,Ta-Ta Conrad,Bye Bye Birdie
HISTORY,The first winners of these didn't get the award we know today: just a scroll & a compact (or a cigarette lighter),the Tony Awards
SCIENCE,In 1882 this inventor opened the Pearl Street Power Station in New York,Thomas Edison
LITERATURE,The Father of English Poetry,Geoffrey Chaucer
LITERATURE,In 1998 Israel celebrated its 50th anniversary & this Leon Uris book celebrated its 40th,Exodus
SCIENCE,"According to his law, resistance in a DC circuit is the ratio of volts to amps",Georg Ohm
LITERATURE,"""This """"No Exit"""" writer grew up in the home of his grandfather Carl Schweitzer, uncle of Missionary Albert""",(Jean-Paul) Sartre
LITERATURE,"""Chilean poet to whom Massimo Troisi delivered mail as """"The Postman""""""",Pablo Neruda
SCIENCE,The material left behind by a retreating glacier or the slow movement of the continents,Drift
MUSIC,Crusading Houston radio host exposes Chicken Ranch,The Best Little Whorehouse in Texas
GEOGRAPHY,"Albuquerque, New Mexico lies on this 1885-mile long river",the Rio Grande
GEOGRAPHY,The tallest mountains in Egypt are located on this large peninsula,the Sinai
SCIENCE,"In 1920, he was named director of the Institute of Theoretical Physics in Copenhagen",(Niels) Bohr
HISTORY,1969: His 57-show engagement at the International Hotel breaks existing Vegas attendance records,Elvis Presley
HISTORY,She's the biblical seductress brought to sizzling life on the big screen here,Salome (played by Rita Hayworth)
LITERATURE,"Commander of Galilee in the Jewish revolt against Rome, he later wrote a history of the revolt",Josephus
LITERATURE,Why England Slept,John F. Kennedy
HISTORY,Atahualpa was the unlucky 13th emperor of these people,Incas
HISTORY,In 1521 Martin Luther was summoned to the Diet of this city to renounce his beliefs,Worms
SCIENCE,"""A branch of geology studies these ice masses, which formed the Svealand area where we're taping """"Jeopardy!""""""",glaciers
SCIENCE,"Technically, the measure of a body's inertia is known as this property of matter",mass
HISTORY,"""In 1517 the Ottoman Turks took this country & put a pasha in power; today a Mubarak rules""",Egypt
GEOGRAPHY,"Ceded to the U.S. in 1783, it's the oldest city in Wisconsin",Green Bay
HISTORY,"Before becoming chief justice in 1789, he was Sec'y of Foreign Affairs in the Continental Congress",John Jay
GEOGRAPHY,This city of over a million people lies 30 miles from Fort Worth,Dallas
MUSIC,"""Darken my Fire: A Gothic CD """"Tribute to"""" this group boasts the Electric Hellfire Club's rendition of """"Light my Fire""""""",the Doors
LITERATURE,Pearl's hockey disks,Buck's pucks
GEOGRAPHY,They extend from Canada through Vermont into western Massachusetts,Green Mountains
HISTORY,"Napoleon's invasion of Russia was partly doomed by epidemic typhus, primarily carried by bacteria on this parasite",lice
LITERATURE,"Like her heroine Kay Scarpetta, this author once worked for the chief medical examiner's office in Virginia",Patricia Cornwell
HISTORY,This 1803 land acquisition included area in what is now 13 of the 50 states,the Louisiana Purchase
HISTORY,John Smith said he would have had his brains beaten out with clubs if this Indian girl hadn't saved him,Pocahontas
LITERATURE,"Don Quixote gave this name to Aldonza Lorenzo, a peasant girl who was his ideal lady",Dulcinea
GEOGRAPHY,"Also called Horeb, experts aren't sure which mount it actually is: Serbal & Jebel Musa are guesses",Mount Sinai
MUSIC,"""In """"Raise Your Voice"""", this teen idol leaves her small town to go to a prestigious California music school""",Hilary Duff
MUSIC,"When Viola uses her viola, she's playing this many strings",4
SCIENCE,"After about eight weeks, a human embryo develops into this",a fetus
HISTORY,"In 1971 this country's constitution set up 3 cultural regions:  Flanders, Wallonia, & Brussels",Belgium
LITERATURE,"""Brom Bones tells the story of the Headless Horseman in """"The Legend of"""" this place""",Sleepy Hollow
MUSIC,"""In 1910 """"The Pipe of Desire"""" became the 1st American opera performed at this American opera house""",The Metropolitan
MUSIC,"""James Iha, guitarist of this """"Smashing"""" group, put out a solo album in 1998""",Smashing Pumpkins
MUSIC,"""This conga drum player married Lucille Ball after starring opposite her in the movie """"Too Many Girls""""""",Desi Arnaz
HISTORY,"In this building Ella Fitzgerald & Sarah Vaughan both won amateur talent contests, one in 1934 & the other in 1942",the Apollo Theater
MUSIC,"In this building Ella Fitzgerald & Sarah Vaughan both won amateur talent contests, one in 1934 & the other in 1942",the Apollo Theater
HISTORY,In 1745 this Austrian archduchess obtained the title of Holy Roman Emperor for her husband,Maria Theresa
HISTORY,King Victor Emmanuel III appionted him prime minister of Italy in 1922,Benito Mussolini
SCIENCE,"The MR in MRI, it's the absorption of energy by atoms",Magnetic resonance
HISTORY,"In the Treaty of Paris of 1763, which ended this war, France surrendered most of New France to Britain",the French and Indian War
SCIENCE,This organ removes excess glucose from the blood & stores it as glycogen,Liver
GEOGRAPHY,The Okefenokee Swamp covers nearly 700 square miles in these 2 states,Florida & Georgia
LITERATURE,"""Though completed almost 60 years earlier, this English novelist's """"Maurice"""" was not published until 1971""",E.M. Forster
LITERATURE,"""This """"Second Sex"""" author taught philosophy for 12 years before writing her first novel""",Simone de Beauvoir
HISTORY,"Re-enactors still buy hardtack crackers from the G.H. Bent Co. of Mass., which supplied them for this 1860s war",the Civil War
MUSIC,Bring On The Night (1986),Sting
SCIENCE,"Albert Hoffman, who died aged 102 in 2008, was best known for synthesizing this 3-letter hallucinogen",LSD
HISTORY,In 1513 he reached & named Florida,Ponce de León
SCIENCE,"""In 1851 this """"swinger"""" used a pendulum to show that the Earth rotates on its axis""",Jean Foucault
HISTORY,In 1199 this crusader king of England was mortally wounded while besieging the castle of Chalus,Richard the Lionhearted
HISTORY,"At the Battle of Lewes in 1264, this king & his son Edward were defeated & captured by Simon de Montfort",Henry III
HISTORY,"In 1999 China confirmed that this girl really existed & served in China's army 1,300 years ago",Mulan
HISTORY,"""It's the New Deal organization that's the subject of the program seen here:  <i>""""The plan--tame the river with dozens of dams & 200,000 workers""""</i>""",the TVA (Tennessee Valley Authority)
GEOGRAPHY,It's Africa's highest mount that shares its name with a country,Kenya
HISTORY,"In 1909 the Lincoln penny replaced this one, which had been in circulation for 50 years",the Indian head
LITERATURE,"The whaling ship in this classic novel had 3 harpooners: Tashtego, Daggoo & Queequeg",Moby Dick
HISTORY,This Dutch city was best known for ruined castles until the 1991 European Union Treaty was signed there,Maastricht
MUSIC,"Tom Thumb, The Ringmaster, & Jenny Lind are all characters in this musical",Barnum
MUSIC,"""Willkommen & """"The Money Song""""""",Cabaret
MUSIC,1968 Oscar winner for special visual effects that includes the piece heard here: [audio clue],"""2001: A Space Odyssey (""""The Blue Danube"""")"""
MUSIC,"""This Stones hit begins """"It is the evening of the day, I sit and watch the children play""""""",As Tears Go By
HISTORY,This president who vetoed the bill to establish the Second Bank of the U.S. is on the $20 bill today,Andrew Jackson
MUSIC,"Also called colophony, this yellowish resin is rubbed on violin bows to produce friction",rosin
HISTORY,"People began digging up this Italian city in 1748, only 1,669 years after it was buried",Pompeii
MUSIC,"""In other words, this musical would be """"The 46th State!""""""",Oklahoma!
MUSIC,"""This Italian wrote 37 operas, from """"Demetrio e Polibio"""" in 1806 to """"William Tell"""" in 1829""",Gioachino Rossini
HISTORY,"It's the item described here, as improved by blacksmith William Dimmit",drill bit
HISTORY,"Dating back to the revolution, it's the oldest continuously occupied military post in the United States",West Point
MUSIC,"""Often played tilted, this instrument has a """"harmonic curve"""" as the strings lengthen with each octave""",the harp
LITERATURE,"""Nicodemus Frapp is a narrow-minded evangelist in """"Tono-Bungay"""", a 1909 novel by this author of """"The Time Machine""""""",H.G. Wells
LITERATURE,Rowena has Saxon the brain in this 1819 work by Sir Walter Scott,Ivanhoe
MUSIC,"""This Offenbach work that contains the popular """"Barcarolle"""" premiered in 1881 after his death""",Tales of Hoffman
LITERATURE,"""He wrote """"A Wonder-Book for Girls and Boys"""" to capitalize on the success of """"The Scarlet Letter""""""",Nathaniel Hawthorne
GEOGRAPHY,Since 1980 most of this Indonesian island known for its giant monitor lizards has been a national park,Komodo
LITERATURE,"""The """"Book of Songs"""" is part of the """"5 Classics"""" that became the basis of this philosophy""",Confucianism
GEOGRAPHY,"South Carolina's highest point, Sassafras Mountain, rises 3,560 feet in this range of the Appalachians",the Blue Ridge Mountains
LITERATURE,Sam Spade,Dashiell Hammett
LITERATURE,Sam Spade,Dashiell Hammett
HISTORY,Nicaraguan guerrilla group that overthrew Somoza,the Sandinistas
HISTORY,"Gaspard II de Coligny, a leader of these French Protestants, was disemboweled & thrown out of a window in 1572",Huguenots
HISTORY,"Redeploy!  The April 1, 1939 mission is scrubbed!  Repeat, scrubbed!  The U.S. just recognized his Spanish rebel government!",Franco
MUSIC,"""In """"True Grit"""", he played a cowboy, but not his famous Rhinestone one""",Glen Campbell
MUSIC,"""This Latin singing sensation sang """"Cup of Life"""" at President George W. Bush's inauguration""",Ricky Martin
SCIENCE,One meter equals 39.37 of these,inches
MUSIC,"Rabbi, Fruma-Sarah, Grandma Tzeitel",Fiddler on the Roof
LITERATURE,"""People from the past appear to a brother & sister in """"Rewards and Fairies"""" by this author of """"The Jungle Book""""""",Kipling
SCIENCE,"His 1947 oceanic expedition began in Callao, Peru & ended 10 days later in Polynesia",Thor Heyerdahl
LITERATURE,"""Creator of """"archy and mehitabel"""", this humorist once was assistant editor for """"The Uncle Remus Magazine""""""",Don Marquis
SCIENCE,This cloudy atmosphere containing the nucleus of a comet may reach a diameter of 1 million miles,coma
MUSIC,"I Keep Forgettin' that before he went solo, he sang lead for the Doobie Brothers",Michael McDonald
LITERATURE,"""This author once had a newsletter devoted to him titled """"Castle Rock""""""",Stephen King
LITERATURE,"""A savage named John has educated himself by reading Shakespeare in """"Brave New World"""" by this man""",Aldous Huxley
LITERATURE,Oscar Wilde's only novel,The Picture Of Dorian Gray
LITERATURE,"""This 1927 Thornton Wilder novel begins, """"On Friday noon, July the twentieth, 1714, the finest bridge in all Peru broke""""""",The Bridge of San Luis Rey
SCIENCE,In 1875 this plant breeder moved to California using profits earned on his potato,Luther Burbank
LITERATURE,"""William Rose Benet won a Pulitzer for """"The Dust Which Is God"""", & this brother won for """"John Brown's Body""""""",Stephen Vincent Benet
LITERATURE,"""His novels """"Ragtime"""" & """"World's Fair"""" were both set in NYC before WWII""",E.L. Doctorow
SCIENCE,Sharks first inhabited the waters during this period of the Paleozoic era named for an English county,Devonian
SCIENCE,The boundary between the mantle & this layer is called the Mohorovicic Discontinuity,Crust
SCIENCE,Compuesto is one of these substances that's composed of 2 or more chemical elements,a compound
MUSIC,Number of strings on  a standard mandolin,8
SCIENCE,A pesticide called HCB has been classified by the EPA as one of these,a carcinogen
LITERATURE,John Steinbeck first came to prominence with this 1935 novel about a group of Mexican-Americans,Tortilla Flat
MUSIC,"""Critics love this 10-letter adjective to describe music resembling """"Lay Lady Lay"""" or """"Like A Rolling Stone""""""",Dylanesque
HISTORY,Party whips can be found at No. 12 on the street named for this 17th C. treasury secretary,Downing Street
GEOGRAPHY,This sea between the Dardanelles & the Bosporus was once called Propontis,Sea of Marmara
LITERATURE,Max et les Maximonstres is the French title of this children's classic,"""\""""Where the Wild Things Are\"""""""
HISTORY,"Now a term for an urban minority area, this word originally referred to an area set aside for medieval Jews",Ghetto
